City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Qaanaaq,GL,2021-04-25 16:12:26,77.484,-69.3632,31.01,73,81,4.72,broken clouds
60,Cremlingen,DE,2021-04-25 16:14:56,52.25,10.65,52.0,28,0,8.05,clear sky
61,Portland,US,2021-04-25 16:07:25,45.5234,-122.6762,51.01,76,90,4.61,overcast clouds
62,Hithadhoo,MV,2021-04-25 16:11:53,-0.6,73.0833,83.41,66,47,4.52,scattered clouds
63,Yerbogachen,RU,2021-04-25 16:10:25,61.2767,108.0108,33.66,98,100,7.02,light snow
64,Astoria,US,2021-04-25 16:14:57,46.1879,-123.8313,48.0,93,90,4.61,light rain
65,Wuning,CN,2021-04-25 16:14:57,29.2589,120.2311,60.69,90,86,3.49,overcast clouds
66,Ornskoldsvik,SE,2021-04-25 16:14:57,63.2909,18.7153,41.0,38,90,11.5,overcast clouds
67,Ostersund,SE,2021-04-25 16:14:58,63.1792,14.6357,37.99,44,75,12.66,broken clouds
68,Bethel,US,2021-04-25 16:12:04,41.3712,-73.414,50.0,89,100,1.01,overcast clouds
69,Meulaboh,ID,2021-04-25 16:14:58,4.1363,96.1285,78.85,80,94,2.28,overcast clouds
70,Margate,GB,2021-04-25 16:13:32,51.3813,1.3862,48.99,62,10,4.0,clear sky
71,Ati,TD,2021-04-25 16:14:59,13.2154,18.3353,103.95,9,78,2.39,broken clouds
72,Palora,EC,2021-04-25 16:14:59,-1.7,-77.9333,78.8,65,20,2.3,light rain
73,Vaini,TO,2021-04-25 16:07:33,-21.2,-175.2,73.4,100,75,2.3,light rain
74,Dikson,RU,2021-04-25 16:08:56,73.5069,80.5464,16.63,91,100,10.22,overcast clouds
75,Aswan,EG,2021-04-25 16:13:02,24.0934,32.907,97.03,7,0,6.78,clear sky
76,Hobart,AU,2021-04-25 16:08:56,-42.8794,147.3294,57.0,67,75,10.36,broken clouds
77,Darhan,MN,2021-04-25 16:15:00,49.4867,105.9228,35.1,98,100,7.27,light snow
78,Devaprayag,IN,2021-04-25 16:15:00,30.15,78.6167,74.8,27,0,3.49,clear sky
79,Upernavik,GL,2021-04-25 16:12:16,72.7868,-56.1549,35.04,86,33,4.99,scattered clouds
80,Salinas,US,2021-04-25 16:13:49,36.6777,-121.6555,57.2,76,90,3.44,overcast clouds
81,West Wendover,US,2021-04-25 16:15:01,40.7391,-114.0733,55.4,44,1,11.5,clear sky
82,Ramygala,LT,2021-04-25 16:15:01,55.5167,24.3,42.8,42,40,13.8,scattered clouds
83,Caravelas,BR,2021-04-25 16:14:17,-17.7125,-39.2481,85.84,56,13,9.33,few clouds
84,Shimanovsk,RU,2021-04-25 16:15:03,52.0,127.7,42.42,41,92,5.61,overcast clouds
85,Port Arthur,CN,2021-04-25 16:15:04,38.8,121.2667,51.01,62,0,2.24,clear sky
86,Les Escoumins,CA,2021-04-25 16:15:04,48.1111,-69.0236,48.2,75,33,12.66,scattered clouds
87,Nikolskoye,RU,2021-04-25 16:12:07,59.7035,30.7861,39.2,87,75,13.42,broken clouds
88,San Patricio,US,2021-04-25 16:13:45,28.017,-97.5169,82.4,54,1,14.97,clear sky
89,Saskylakh,RU,2021-04-25 16:11:46,71.9167,114.0833,15.62,95,100,8.08,light snow
90,Maniitsoq,GL,2021-04-25 16:15:05,65.4167,-52.9,39.54,77,66,7.05,broken clouds
91,Ipixuna,BR,2021-04-25 16:15:05,-1.7625,-48.8043,87.8,62,75,10.36,broken clouds
92,Nome,US,2021-04-25 16:15:05,64.5011,-165.4064,33.8,80,75,3.74,broken clouds
93,Yaan,NG,2021-04-25 16:15:06,7.3833,8.5667,90.57,47,100,5.86,overcast clouds
94,Beyneu,KZ,2021-04-25 16:10:54,45.3167,55.2,74.3,19,71,13.8,broken clouds
95,Cairns,AU,2021-04-25 16:11:31,-16.9167,145.7667,75.2,94,75,11.5,broken clouds
96,Hilo,US,2021-04-25 16:11:41,19.7297,-155.09,68.0,77,40,4.61,scattered clouds
97,Filadelfia,US,2021-04-25 16:11:47,39.9523,-75.1638,57.99,62,75,10.36,broken clouds
98,Nishihara,JP,2021-04-25 16:15:07,26.1842,127.7558,68.0,88,20,3.44,few clouds
99,Douglas,US,2021-04-25 16:15:07,41.3,-96.167,55.99,50,1,13.8,clear sky
100,Kodiak,US,2021-04-25 16:12:46,57.79,-152.4072,39.2,81,90,12.66,overcast clouds
101,Udimskiy,RU,2021-04-25 16:15:07,61.1417,45.9144,39.16,97,100,6.89,overcast clouds
102,Chokurdakh,RU,2021-04-25 16:07:59,70.6333,147.9167,16.43,94,100,12.93,light snow
103,Port Shepstone,ZA,2021-04-25 16:15:08,-30.7414,30.455,71.33,79,0,6.2,clear sky
104,Roma,US,2021-04-25 16:15:08,43.2128,-75.4557,53.6,71,90,4.61,overcast clouds
105,Kalmunai,LK,2021-04-25 16:13:23,7.4167,81.8167,80.58,69,23,7.7,few clouds
106,Tezu,IN,2021-04-25 16:11:53,27.9167,96.1667,77.99,23,14,5.53,few clouds
107,Labuhan,ID,2021-04-25 16:08:27,-6.8844,112.2051,79.21,82,54,9.4,broken clouds
108,Kapaa,US,2021-04-25 16:11:54,22.0752,-159.319,73.4,78,40,13.8,light rain
109,Sao Felix Do Xingu,BR,2021-04-25 16:15:09,-6.6447,-51.995,88.52,58,50,3.09,scattered clouds
110,Coquimbo,CL,2021-04-25 16:12:32,-29.9533,-71.3436,62.6,72,20,11.5,few clouds
111,Yellowknife,CA,2021-04-25 16:12:04,62.456,-114.3525,8.01,56,75,2.3,broken clouds
112,Mayo,US,2021-04-25 16:13:58,38.8876,-76.5119,59.0,67,90,9.22,overcast clouds
113,Okha,RU,2021-04-25 16:15:10,53.5739,142.9478,20.66,88,7,4.18,clear sky
114,Vardo,NO,2021-04-25 16:12:51,70.3705,31.1107,33.8,69,40,17.27,scattered clouds
115,Atikokan,CA,2021-04-25 16:15:10,48.7555,-91.6216,42.73,18,0,5.93,clear sky
116,Ilhabela,BR,2021-04-25 16:15:10,-23.7781,-45.3581,77.9,64,84,5.95,broken clouds
117,Kasongo-Lunda,CD,2021-04-25 16:15:11,-6.4667,16.8167,80.67,74,56,0.58,broken clouds
118,Bredasdorp,ZA,2021-04-25 16:11:52,-34.5322,20.0403,62.6,77,100,4.61,overcast clouds
